Date,Open,High,Low,Close,Volume,Adj Close
2016-12-14,778.25,780.859985,762.809998,768.820007,5406500,768.820007
2016-12-13,764.960022,782.460022,762.00,774.340027,5244700,774.340027
2016-12-12,766.400024,766.890015,757.200012,760.119995,2956900,760.119995
2016-12-09,770.00,770.25,765.340027,768.659973,2458800,768.659973
2016-12-08,771.869995,773.789978,765.190002,767.330017,3185700,767.330017
2016-12-07,764.549988,770.419983,755.820007,770.419983,3655300,770.419983
2016-12-06,763.98999,768.23999,757.25,764.719971,3788300,764.719971
2016-12-05,745.00,761.48999,742.00,759.359985,4298200,759.359985
2016-12-02,743.400024,748.48999,736.700012,740.340027,3499200,740.340027
2016-12-01,752.409973,753.369995,738.030029,743.650024,4626500,743.650024
2016-11-30,762.00,768.090027,750.25,750.570007,4580100,750.570007
2016-11-29,768.00,769.890015,761.320007,762.52002,3266500,762.52002
2016-11-28,776.98999,777.00,764.23999,766.77002,4380900,766.77002
2016-11-25,786.50,786.75,777.900024,780.369995,1832300,780.369995
2016-11-23,781.72998,781.75,773.119995,780.119995,3522500,780.119995
2016-11-22,788.169983,792.400024,781.00,785.330017,5304900,785.330017
2016-11-21,766.00,780.349976,765.109985,780.00,4595600,780.00
2016-11-18,761.00,767.73999,757.640015,760.159973,4301300,760.159973
2016-11-17,749.320007,757.50,748.00,756.400024,3651300,756.400024
2016-11-16,739.880005,749.869995,735.609985,746.48999,3601400,746.48999
2016-11-15,730.00,746.780029,725.98999,743.23999,6744600,743.23999
